"types"	"counts"
"231"	"ADAM23"	3
"232"	"ADAM28"	8
"233"	"ADAM29"	13
"234"	"ADAM30"	2
"235"	"ADAM32"	4
"236"	"ADAM33"	6
"237"	"ADAM7"	8
"238"	"ADAM8"	3
"239"	"ADAM9"	1
"240"	"ADAMDEC1"	3
"241"	"ADAMTS1"	5
"242"	"ADAMTS10"	8
"243"	"ADAMTS12"	23
"244"	"ADAMTS13"	3
"245"	"ADAMTS14"	11
"246"	"ADAMTS15"	4
"247"	"ADAMTS16"	12
"248"	"ADAMTS17"	5
"249"	"ADAMTS18"	7
"250"	"ADAMTS19"	14
"251"	"ADAMTS2"	6
"252"	"ADAMTS20"	13
"253"	"ADAMTS3"	18
"254"	"ADAMTS4"	6
"255"	"ADAMTS5"	9
"256"	"ADAMTS6"	8
"257"	"ADAMTS7"	7
"258"	"ADAMTS8"	6
"259"	"ADAMTS9"	14
"260"	"ADAMTSL1"	12
"261"	"ADAMTSL2"	1
"262"	"ADAMTSL3"	10
"263"	"ADAMTSL4"	4
"264"	"ADAMTSL5"	1
"265"	"ADAP1"	2
"266"	"ADAP2"	1
"267"	"ADAR"	6
"268"	"ADARB1"	2
"269"	"ADARB2"	4
"270"	"ADAT1"	1
"271"	"ADCK1"	3
"272"	"ADCK2"	4
"273"	"ADCK3"	5
"274"	"ADCK4"	6
"275"	"ADCK5"	3
"276"	"ADCY1"	23
"277"	"ADCY10"	4
"278"	"ADCY2"	30
"279"	"ADCY3"	5
"280"	"ADCY4"	5
"281"	"ADCY5"	6
"282"	"ADCY6"	6
"283"	"ADCY7"	4
"284"	"ADCY8"	24
"285"	"ADCY9"	7
"286"	"ADCYAP1"	2
"287"	"ADCYAP1R1"	6
"288"	"ADD1"	4
"289"	"ADD2"	5
"290"	"ADD3"	3
"291"	"ADGRA1"	4
"292"	"ADGRA2"	9
"293"	"ADGRA3"	8
"294"	"ADGRB1"	6
"295"	"ADGRB2"	6
"296"	"ADGRB3"	33
"297"	"ADGRD1"	9
"298"	"ADGRE1"	7
"299"	"ADGRE2"	2
"300"	"ADGRE3"	1
"301"	"ADGRE4P"	1
"302"	"ADGRE5"	6
"303"	"ADGRF1"	9
"304"	"ADGRF2"	8
"305"	"ADGRF3"	2
"306"	"ADGRF4"	4
"307"	"ADGRF5"	8
"308"	"ADGRG1"	3
"309"	"ADGRG2"	4
"310"	"ADGRG3"	1
"311"	"ADGRG4"	28
"312"	"ADGRG5"	2
"313"	"ADGRG6"	6
"314"	"ADGRG7"	4
"315"	"ADGRL1"	10
"316"	"ADGRL2"	10
"317"	"ADGRL3"	19
"318"	"ADGRL4"	12
"319"	"ADGRV1"	39
"320"	"ADH1A"	2
"321"	"ADH1C"	3
"322"	"ADH4"	2
"323"	"ADH5"	3
"324"	"ADH6"	1
"325"	"ADH7"	2
"326"	"ADHFE1"	3
"327"	"ADI1"	1
"328"	"ADIG"	2
"329"	"ADIPOQ"	2
"330"	"ADIPOR1"	3
"331"	"ADIPOR2"	3
"332"	"ADM"	1
"333"	"ADM2"	1
"334"	"ADNP"	6
"335"	"ADNP2"	3
"336"	"ADORA1"	3
"337"	"ADORA2A"	3
"338"	"ADORA2B"	1
"339"	"ADORA3"	1
"340"	"ADPGK"	3
"341"	"ADPRH"	2
"342"	"ADPRHL1"	2
"343"	"ADPRM"	1
"344"	"ADRA1A"	6
"345"	"ADRA1B"	2
"346"	"ADRA1D"	2
"347"	"ADRA2B"	3
"348"	"ADRA2C"	3
"349"	"ADRB1"	3
"350"	"ADRB3"	2
"351"	"ADRBK1"	6
"352"	"ADRBK2"	4
"353"	"ADRM1"	1
"354"	"ADSL"	3
"355"	"ADSS"	4
"356"	"ADSSL1"	3
"357"	"AEBP1"	5
"358"	"AEN"	1
"359"	"AES"	1
"360"	"AFAP1"	5
"361"	"AFAP1L1"	3
"362"	"AFAP1L2"	2
"363"	"AFF1"	9
"364"	"AFF2"	14
"365"	"AFF3"	18
"366"	"AFF4"	5
"367"	"AFG3L2"	2
"368"	"AFM"	3
"369"	"AFMID"	5
"370"	"AFP"	1
"371"	"AFTPH"	6
"372"	"AGAP1"	6
"373"	"AGAP2"	4
"374"	"AGAP3"	5
"375"	"AGAP4"	3
"376"	"AGAP5"	4
"377"	"AGAP6"	3
"378"	"AGBL1"	13
"379"	"AGBL2"	8
"380"	"AGBL5"	6
"381"	"AGER"	1
"382"	"AGFG1"	1
"383"	"AGGF1"	6
"384"	"AGK"	3
"385"	"AGL"	6
"386"	"AGMAT"	2
"387"	"AGMO"	9
"388"	"AGO1"	7
"389"	"AGO2"	6
"390"	"AGO3"	8
"391"	"AGO4"	8
"392"	"AGPAT1"	2
"393"	"AGPAT2"	2
"394"	"AGPAT3"	3
"395"	"AGPAT4"	2
"396"	"AGPAT9"	1
"397"	"AGPS"	5
"398"	"AGR3"	1
"399"	"AGRN"	4
"400"	"AGRP"	1
"401"	"AGT"	4
"402"	"AGTPBP1"	12
"403"	"AGTR1"	12
"404"	"AGTR2"	2
"405"	"AGTRAP"	1
"406"	"AGXT"	2
"407"	"AGXT2"	5
"408"	"AHCTF1"	12
"409"	"AHCY"	1
"410"	"AHCYL2"	6
"411"	"AHDC1"	16
"412"	"AHI1"	7
"413"	"AHNAK"	63
"414"	"AHNAK2"	43
"415"	"AHR"	5
"416"	"AHRR"	3
"417"	"AHSA1"	2
"418"	"AHSG"	3
"419"	"AICDA"	2
"420"	"AIDA"	1
"421"	"AIF1L"	1
"422"	"AIFM1"	1
"423"	"AIFM2"	1
"424"	"AIFM3"	2
"425"	"AIG1"	1
"426"	"AIM1"	10
"427"	"AIM1L"	3
"428"	"AIM2"	2
"429"	"AIMP1"	2
"430"	"AIMP2"	2
"431"	"AIP"	2
"432"	"AIPL1"	1
"433"	"AIRE"	2
"434"	"AJAP1"	4
"435"	"AJUBA"	31
"436"	"AK1"	1
"437"	"AK2"	1
"438"	"AK4"	3
"439"	"AK5"	14
"440"	"AK7"	3
"441"	"AK9"	9
"442"	"AKAP1"	5
"443"	"AKAP10"	4
"444"	"AKAP11"	6
"445"	"AKAP12"	13
"446"	"AKAP13"	13
"447"	"AKAP14"	3
"448"	"AKAP17A"	4
"449"	"AKAP3"	8
"450"	"AKAP4"	11
"451"	"AKAP5"	4
"452"	"AKAP6"	23
"453"	"AKAP7"	4
"454"	"AKAP8"	3
"455"	"AKAP8L"	4
"456"	"AKAP9"	30
"457"	"AKIP1"	2
"458"	"AKIRIN2"	1
"459"	"AKNA"	6
"460"	"AKNAD1"	3
"461"	"AKR1A1"	1
"462"	"AKR1B1"	1
"463"	"AKR1B10"	4
"464"	"AKR1B15"	4
"465"	"AKR1C1"	1
"466"	"AKR1C4"	3
"467"	"AKR1D1"	4
"468"	"AKR1E2"	1
"469"	"AKR7A2"	1
"470"	"AKR7A3"	1
"471"	"AKR7L"	2
"472"	"AKT1"	2
"473"	"AKT2"	3
"474"	"AKT3"	7
"475"	"AL008723-1"	2
"476"	"AL513523-2"	1
"477"	"ALAD"	2
"478"	"ALAS2"	3
"479"	"ALB"	11
"480"	"ALCAM"	6
"481"	"ALDH16A1"	1
"482"	"ALDH18A1"	1
"483"	"ALDH1A1"	1
"484"	"ALDH1A2"	7
"485"	"ALDH1A3"	1
"486"	"ALDH1B1"	4
"487"	"ALDH1L1"	8
"488"	"ALDH1L2"	6
"489"	"ALDH2"	2
"490"	"ALDH3A1"	2
"491"	"ALDH3A2"	2
"492"	"ALDH3B1"	3
"493"	"ALDH3B2"	3
"494"	"ALDH5A1"	3
"495"	"ALDH7A1"	2
"496"	"ALDH8A1"	2
"497"	"ALDH9A1"	3
"498"	"ALDOB"	4
"499"	"ALDOC"	2
"500"	"ALG1"	4
"501"	"ALG10"	5
"502"	"ALG10B"	2
"503"	"ALG11"	2
"504"	"ALG12"	4
"505"	"ALG13"	4
"506"	"ALG1L"	1
"507"	"ALG1L2"	1
"508"	"ALG2"	2
"509"	"ALG3"	1
"510"	"ALG5"	2
"511"	"ALG6"	4
"512"	"ALG8"	1
"513"	"ALK"	15
"514"	"ALKBH1"	3
"515"	"ALKBH2"	2
"516"	"ALKBH3"	4
"517"	"ALKBH4"	2
"518"	"ALKBH5"	3
"519"	"ALKBH7"	1
"520"	"ALKBH8"	2
"521"	"ALLC"	4
"522"	"ALMS1"	26
"523"	"ALOX12"	3
"524"	"ALOX12B"	3
"525"	"ALOX15"	2
"526"	"ALOX15B"	6
"527"	"ALOX5"	4
"528"	"ALOXE3"	2
"529"	"ALPI"	2
"530"	"ALPK1"	9
"531"	"ALPK2"	12
"532"	"ALPK3"	14
"533"	"ALPL"	3
"534"	"ALPP"	5
"535"	"ALPPL2"	5
"536"	"ALS2"	5
"537"	"ALS2CL"	4
"538"	"ALS2CR11"	2
"539"	"ALS2CR12"	3
"540"	"ALX1"	4
"541"	"ALX3"	3
"542"	"ALX4"	6
"543"	"ALYREF"	2
"544"	"AMACR"	1
"545"	"AMBN"	1
"546"	"AMBP"	2
"547"	"AMBRA1"	5
"548"	"AMD1"	2
"549"	"AMDHD1"	2
"550"	"AMDHD2"	3
"551"	"AMELX"	1
"552"	"AMER1"	11
"553"	"AMER2"	4
"554"	"AMER3"	7
"555"	"AMFR"	3
"556"	"AMHR2"	1
"557"	"AMIGO1"	1
"558"	"AMIGO2"	2
"559"	"AMIGO3"	3
"560"	"AMMECR1L"	1
"561"	"AMN"	1
"562"	"AMOT"	6
"563"	"AMOTL1"	6
"564"	"AMOTL2"	2
"565"	"AMPD1"	6
"566"	"AMPD3"	1
"567"	"AMPH"	16
"568"	"AMT"	2
"569"	"AMTN"	1
"570"	"AMY1A"	1
"571"	"AMY1C"	2
"572"	"AMY2A"	7
"573"	"AMY2B"	9
"574"	"AMZ1"	2
"575"	"AMZ2"	2
"576"	"ANAPC1"	7
"577"	"ANAPC4"	2
"578"	"ANAPC5"	1
"579"	"ANAPC7"	4
"580"	"ANGEL1"	4
"581"	"ANGEL2"	4
"582"	"ANGPT1"	6
"583"	"ANGPT2"	3
"584"	"ANGPT4"	4
"585"	"ANGPTL1"	1
"586"	"ANGPTL2"	3
"587"	"ANGPTL3"	3
"588"	"ANGPTL4"	3
"589"	"ANGPTL5"	2
"590"	"ANGPTL6"	2
"591"	"ANGPTL7"	2
"592"	"ANK1"	5
"593"	"ANK2"	31
"594"	"ANK3"	26
"595"	"ANKAR"	6
"596"	"ANKDD1A"	4
"597"	"ANKEF1"	3
"598"	"ANKFN1"	6
"599"	"ANKFY1"	4
"600"	"ANKH"	6
"601"	"ANKHD1"	1
"602"	"ANKHD1-EIF4EBP3"	17
"603"	"ANKIB1"	5
"604"	"ANKK1"	1
"605"	"ANKLE1"	2
"606"	"ANKLE2"	8
"607"	"ANKMY1"	5
"608"	"ANKMY2"	2
