"types"	"counts"
"229"	"ACVRL1"	1
"230"	"ACY1"	2
"231"	"ACY3"	22
"232"	"ACYP1"	3
"233"	"ACYP2"	2
"234"	"ADA"	3
"235"	"ADAD1"	1
"236"	"ADAD2"	2
"237"	"ADAM11"	1
"238"	"ADAM12"	2
"239"	"ADAM15"	5
"240"	"ADAM18"	22
"241"	"ADAM19"	1
"242"	"ADAM2"	20
"243"	"ADAM20"	2
"244"	"ADAM21"	2
"245"	"ADAM21P1"	2
"246"	"ADAM22"	14
"247"	"ADAM23"	5
"248"	"ADAM28"	10
"249"	"ADAM29"	5
"250"	"ADAM30"	10
"251"	"ADAM32"	22
"252"	"ADAM33"	1
"253"	"ADAM3A"	22
"254"	"ADAM5P"	22
"255"	"ADAM6"	9
"256"	"ADAM7"	10
"257"	"ADAM8"	2
"258"	"ADAM9"	22
"259"	"ADAMDEC1"	10
"260"	"ADAMTS10"	4
"261"	"ADAMTS12"	14
"262"	"ADAMTS13"	5
"263"	"ADAMTS14"	2
"264"	"ADAMTS15"	5
"265"	"ADAMTS16"	20
"266"	"ADAMTS17"	4
"267"	"ADAMTS18"	2
"268"	"ADAMTS19"	3
"269"	"ADAMTS2"	2
"270"	"ADAMTS20"	2
"271"	"ADAMTS3"	1
"272"	"ADAMTS4"	6
"273"	"ADAMTS6"	1
"274"	"ADAMTS7"	2
"275"	"ADAMTS8"	5
"276"	"ADAMTS9"	3
"277"	"ADAMTS9-AS2"	2
"278"	"ADAMTSL1"	9
"279"	"ADAMTSL2"	5
"280"	"ADAMTSL3"	2
"281"	"ADAMTSL4"	8
"282"	"ADAMTSL5"	3
"283"	"ADAP1"	7
"284"	"ADAP2"	1
"285"	"ADAR"	5
"286"	"ADARB1"	1
"287"	"ADAT1"	1
"288"	"ADAT2"	2
"289"	"ADAT3"	3
"290"	"ADC"	3
"291"	"ADCK1"	3
"292"	"ADCK2"	6
"293"	"ADCK3"	4
"294"	"ADCK4"	2
"295"	"ADCK5"	31
"296"	"ADCY1"	4
"297"	"ADCY10"	5
"298"	"ADCY2"	21
"299"	"ADCY3"	2
"300"	"ADCY4"	5
"301"	"ADCY5"	9
"302"	"ADCY6"	1
"303"	"ADCY7"	3
"304"	"ADCY8"	31
"305"	"ADCY9"	1
"306"	"ADCYAP1"	18
"307"	"ADCYAP1R1"	4
"308"	"ADD1"	4
"309"	"ADD2"	2
"310"	"ADD3"	1
"311"	"ADGB"	1
"312"	"ADHFE1"	12
"313"	"ADIG"	1
"314"	"ADIPOQ"	55
"315"	"ADIPOR1"	4
"316"	"ADIPOR2"	10
"317"	"ADK"	2
"318"	"ADM"	1
"319"	"ADNP"	1
"320"	"ADNP2"	17
"321"	"ADO"	2
"322"	"ADORA1"	4
"323"	"ADORA2A"	4
"324"	"ADORA2B"	2
"325"	"ADORA3"	4
"326"	"ADPRH"	10
"327"	"ADPRHL1"	9
