Chromosome Arm	TCGA-BA-4074-01A-01D-1432-01	TCGA-BA-4075-01A-01D-1432-01	TCGA-BA-4076-01A-01D-1432-01	TCGA-BA-4077-01B-01D-1432-01	TCGA-BA-4078-01A-01D-1432-01	TCGA-BA-5149-01A-01D-1510-01	TCGA-BA-5151-01A-01D-1432-01	TCGA-BA-5152-01A-02D-1869-01	TCGA-BA-5153-01A-01D-1432-01	TCGA-BA-5555-01A-01D-1510-01	TCGA-BA-5556-01A-01D-1510-01	TCGA-BA-5557-01A-01D-1510-01	TCGA-BA-5558-01A-01D-1510-01	TCGA-BA-5559-01A-01D-1510-01	TCGA-BA-6868-01B-12D-1910-01	TCGA-BA-6869-01A-11D-1869-01	TCGA-BA-6870-01A-11D-1869-01	TCGA-BA-6871-01A-11D-1869-01	TCGA-BA-6872-01A-11D-1869-01	TCGA-BA-6873-01A-11D-1869-01	TCGA-BA-7269-01A-11D-2010-01	TCGA-BB-4217-01A-11D-2077-01	TCGA-BB-4223-01A-01D-1432-01	TCGA-BB-4224-01A-01D-1432-01	TCGA-BB-4225-01A-01D-1432-01	TCGA-BB-4227-01A-01D-1869-01	TCGA-BB-4228-01A-01D-1432-01	TCGA-BB-7861-01A-11D-2228-01	TCGA-BB-7862-01A-21D-2228-01	TCGA-BB-7863-01A-11D-2228-01	TCGA-BB-7864-01A-11D-2228-01	TCGA-BB-7866-01A-11D-2228-01	TCGA-BB-7870-01A-11D-2228-01	TCGA-BB-7871-01A-11D-2228-01	TCGA-BB-7872-01A-11D-2228-01	TCGA-CN-4722-01A-01D-1432-01	TCGA-CN-4723-01A-01D-1432-01	TCGA-CN-4725-01A-01D-1432-01	TCGA-CN-4726-01A-01D-1432-01	TCGA-CN-4727-01A-01D-1432-01	TCGA-CN-4728-01A-01D-1432-01	TCGA-CN-4729-01A-01D-1432-01	TCGA-CN-4730-01A-01D-1432-01	TCGA-CN-4731-01A-01D-1432-01	TCGA-CN-4733-01A-02D-1869-01	TCGA-CN-4735-01A-01D-1432-01	TCGA-CN-4736-01A-01D-1432-01	TCGA-CN-4737-01A-01D-1432-01	TCGA-CN-4738-01A-02D-1510-01	TCGA-CN-4739-01A-02D-1510-01	TCGA-CN-4740-01A-01D-1432-01	TCGA-CN-4741-01A-01D-1432-01	TCGA-CN-4742-01A-02D-1510-01	TCGA-CN-5355-01A-01D-1432-01	TCGA-CN-5356-01A-01D-1432-01	TCGA-CN-5358-01A-01D-1510-01	TCGA-CN-5359-01A-01D-1432-01	TCGA-CN-5360-01A-01D-1432-01	TCGA-CN-5363-01A-01D-1432-01	TCGA-CN-5364-01A-01D-1432-01	TCGA-CN-5365-01A-01D-1432-01	TCGA-CN-5366-01A-01D-1432-01	TCGA-CN-5367-01A-01D-1432-01	TCGA-CN-5369-01A-01D-1432-01	TCGA-CN-5370-01A-01D-2010-01	TCGA-CN-5373-01A-01D-1432-01	TCGA-CN-5374-01A-01D-1432-01	TCGA-CN-6010-01A-11D-1682-01	TCGA-CN-6011-01A-11D-1682-01	TCGA-CN-6012-01A-11D-1682-01	TCGA-CN-6013-01A-11D-1682-01	TCGA-CN-6016-01A-11D-1682-01	TCGA-CN-6017-01A-11D-1682-01	TCGA-CN-6018-01A-11D-1682-01	TCGA-CN-6019-01A-11D-1682-01	TCGA-CN-6020-01A-11D-1682-01	TCGA-CN-6021-01A-11D-1682-01	TCGA-CN-6022-01A-21D-1682-01	TCGA-CN-6023-01A-11D-1682-01	TCGA-CN-6024-01A-11D-1682-01	TCGA-CN-6988-01A-11D-1910-01	TCGA-CN-6989-01A-11D-1910-01	TCGA-CN-6992-01A-11D-1910-01	TCGA-CN-6994-01A-11D-1910-01	TCGA-CN-6995-01A-31D-2010-01	TCGA-CN-6996-01A-11D-1910-01	TCGA-CN-6997-01A-11D-2010-01	TCGA-CN-6998-01A-23D-2010-01	TCGA-CQ-5323-01A-01D-1682-01	TCGA-CQ-5324-01A-01D-1682-01	TCGA-CQ-5325-01A-01D-1682-01	TCGA-CQ-5326-01A-01D-1869-01	TCGA-CQ-5327-01A-01D-1682-01	TCGA-CQ-5329-01A-01D-1682-01	TCGA-CQ-5330-01A-01D-1682-01	TCGA-CQ-5331-01A-02D-1869-01	TCGA-CQ-5332-01A-01D-1682-01	TCGA-CQ-5334-01A-01D-1682-01	TCGA-CQ-6218-01A-11D-1910-01	TCGA-CQ-6220-01A-11D-1910-01	TCGA-CQ-6221-01A-11D-2077-01	TCGA-CQ-6223-01A-11D-1910-01	TCGA-CQ-6224-01A-11D-1910-01	TCGA-CQ-6225-01A-11D-1910-01	TCGA-CQ-6227-01A-11D-1910-01	TCGA-CQ-6228-01A-11D-1910-01	TCGA-CQ-6229-01A-11D-1910-01	TCGA-CQ-7065-01A-11D-2077-01	TCGA-CQ-7067-01A-11D-2228-01	TCGA-CQ-7068-01A-11D-2077-01	TCGA-CR-5243-01A-01D-1510-01	TCGA-CR-5247-01A-01D-2010-01	TCGA-CR-5248-01A-01D-2010-01	TCGA-CR-5249-01A-01D-1510-01	TCGA-CR-5250-01A-01D-1510-01	TCGA-CR-6467-01A-11D-1869-01	TCGA-CR-6470-01A-11D-1869-01	TCGA-CR-6471-01A-11D-1869-01	TCGA-CR-6472-01A-11D-1869-01	TCGA-CR-6473-01A-11D-1869-01	TCGA-CR-6474-01A-11D-1869-01	TCGA-CR-6477-01A-11D-1869-01	TCGA-CR-6478-01A-11D-1869-01	TCGA-CR-6480-01A-11D-1869-01	TCGA-CR-6481-01A-11D-1869-01	TCGA-CR-6482-01A-11D-1869-01	TCGA-CR-6484-01A-11D-1869-01	TCGA-CR-6487-01A-11D-1869-01	TCGA-CR-6488-01A-12D-2077-01	TCGA-CR-6491-01A-11D-1869-01	TCGA-CR-6492-01A-12D-2077-01	TCGA-CR-6493-01A-11D-1869-01	TCGA-CR-7364-01A-11D-2010-01	TCGA-CR-7365-01A-11D-2010-01	TCGA-CR-7367-01A-11D-2010-01	TCGA-CR-7368-01A-11D-2128-01	TCGA-CR-7369-01A-11D-2128-01	TCGA-CR-7370-01A-11D-2128-01	TCGA-CR-7371-01A-11D-2010-01	TCGA-CR-7372-01A-11D-2010-01	TCGA-CR-7373-01A-11D-2010-01	TCGA-CR-7374-01A-11D-2010-01	TCGA-CR-7376-01A-11D-2128-01	TCGA-CR-7377-01A-11D-2010-01	TCGA-CR-7379-01A-11D-2010-01	TCGA-CR-7380-01A-11D-2010-01	TCGA-CR-7382-01A-11D-2128-01	TCGA-CR-7383-01A-11D-2128-01	TCGA-CR-7385-01A-11D-2010-01	TCGA-CR-7386-01A-11D-2010-01	TCGA-CR-7388-01A-11D-2010-01	TCGA-CR-7389-01A-11D-2010-01	TCGA-CR-7390-01A-11D-2010-01	TCGA-CR-7391-01A-11D-2010-01	TCGA-CR-7392-01A-11D-2010-01	TCGA-CR-7393-01A-11D-2010-01	TCGA-CR-7394-01A-11D-2010-01	TCGA-CR-7395-01A-11D-2010-01	TCGA-CR-7397-01A-11D-2010-01	TCGA-CR-7398-01A-11D-2010-01	TCGA-CR-7399-01A-11D-2010-01	TCGA-CR-7401-01A-11D-2010-01	TCGA-CR-7402-01A-11D-2010-01	TCGA-CR-7404-01A-11D-2128-01	TCGA-CV-5430-01A-02D-1682-01	TCGA-CV-5431-01A-01D-1510-01	TCGA-CV-5432-01A-02D-1682-01	TCGA-CV-5434-01A-01D-1682-01	TCGA-CV-5435-01A-01D-1682-01	TCGA-CV-5436-01A-01D-1510-01	TCGA-CV-5439-01A-01D-1682-01	TCGA-CV-5440-01A-01D-1510-01	TCGA-CV-5441-01A-01D-1510-01	TCGA-CV-5442-01A-01D-1510-01	TCGA-CV-5443-01A-01D-1510-01	TCGA-CV-5444-01A-02D-1510-01	TCGA-CV-5966-01A-11D-1682-01	TCGA-CV-5970-01A-11D-1682-01	TCGA-CV-5971-01A-11D-1682-01	TCGA-CV-5973-01A-11D-1682-01	TCGA-CV-5976-01A-11D-1682-01	TCGA-CV-5977-01A-11D-1682-01	TCGA-CV-5978-01A-11D-1682-01	TCGA-CV-5979-01A-11D-1682-01	TCGA-CV-6003-01A-11D-1682-01	TCGA-CV-6433-01A-11D-1682-01	TCGA-CV-6436-01A-11D-1682-01	TCGA-CV-6441-01A-11D-1682-01	TCGA-CV-6933-01A-11D-1910-01	TCGA-CV-6934-01A-11D-1910-01	TCGA-CV-6935-01A-11D-1910-01	TCGA-CV-6936-01A-11D-1910-01	TCGA-CV-6937-01A-11D-2010-01	TCGA-CV-6938-01A-11D-1910-01	TCGA-CV-6939-01A-11D-1910-01	TCGA-CV-6940-01A-11D-1910-01	TCGA-CV-6941-01A-11D-1910-01	TCGA-CV-6942-01A-21D-2010-01	TCGA-CV-6943-01A-11D-1910-01	TCGA-CV-6945-01A-11D-1910-01	TCGA-CV-6948-01A-11D-1910-01	TCGA-CV-6950-01A-11D-1910-01	TCGA-CV-6951-01A-11D-1910-01	TCGA-CV-6952-01A-11D-1910-01	TCGA-CV-6953-01A-11D-1910-01	TCGA-CV-6954-01A-11D-1910-01	TCGA-CV-6955-01A-11D-2062-01	TCGA-CV-6956-01A-21D-2062-01	TCGA-CV-6959-01A-11D-1910-01	TCGA-CV-6960-01A-41D-2010-01	TCGA-CV-6961-01A-21D-1910-01	TCGA-CV-6962-01A-11D-1910-01	TCGA-CV-7089-01A-11D-2010-01	TCGA-CV-7090-01A-11D-2010-01	TCGA-CV-7091-01A-11D-2010-01	TCGA-CV-7095-01A-21D-2010-01	TCGA-CV-7097-01A-11D-2010-01	TCGA-CV-7099-01A-41D-2010-01	TCGA-CV-7100-01A-11D-2010-01	TCGA-CV-7101-01A-11D-2010-01	TCGA-CV-7102-01A-11D-2010-01	TCGA-CV-7103-01A-21D-2010-01	TCGA-CV-7104-01A-11D-2010-01	TCGA-CV-7177-01A-11D-2010-01	TCGA-CV-7178-01A-21D-2010-01	TCGA-CV-7180-01A-11D-2010-01	TCGA-CV-7183-01A-11D-2010-01	TCGA-CV-7235-01A-11D-2010-01	TCGA-CV-7236-01A-11D-2010-01	TCGA-CV-7238-01A-11D-2010-01	TCGA-CV-7242-01A-11D-2010-01	TCGA-CV-7243-01A-11D-2010-01	TCGA-CV-7245-01A-11D-2010-01	TCGA-CV-7247-01A-11D-2010-01	TCGA-CV-7248-01A-11D-2010-01	TCGA-CV-7250-01A-11D-2010-01	TCGA-CV-7252-01A-11D-2010-01	TCGA-CV-7253-01A-11D-2010-01	TCGA-CV-7254-01A-11D-2010-01	TCGA-CV-7255-01A-11D-2010-01	TCGA-CV-7261-01A-11D-2010-01	TCGA-CV-7263-01A-11D-2010-01	TCGA-CV-7406-01A-11D-2077-01	TCGA-CV-7407-01A-11D-2077-01	TCGA-CV-7409-01A-31D-2228-01	TCGA-CV-7410-01A-21D-2077-01	TCGA-CV-7411-01A-11D-2077-01	TCGA-CV-7413-01A-11D-2077-01	TCGA-CV-7414-01A-11D-2077-01	TCGA-CV-7415-01A-11D-2077-01	TCGA-CV-7416-01A-11D-2077-01	TCGA-CV-7418-01A-11D-2077-01	TCGA-CV-7421-01A-11D-2077-01	TCGA-CV-7422-01A-21D-2077-01	TCGA-CV-7423-01A-11D-2077-01	TCGA-CV-7424-01A-11D-2077-01	TCGA-CV-7425-01A-11D-2077-01	TCGA-CV-7427-01A-11D-2077-01	TCGA-CV-7428-01A-11D-2128-01	TCGA-CV-7429-01A-11D-2128-01	TCGA-CV-7430-01A-11D-2128-01	TCGA-CV-7432-01A-11D-2128-01	TCGA-CV-7433-01A-11D-2128-01	TCGA-CV-7434-01A-11D-2128-01	TCGA-CV-7435-01A-11D-2128-01	TCGA-CV-7437-01A-21D-2128-01	TCGA-CV-7438-01A-21D-2128-01	TCGA-CV-7440-01A-11D-2128-01	TCGA-CX-7082-01A-11D-2010-01	TCGA-CX-7085-01A-21D-2010-01	TCGA-CX-7086-01A-11D-2077-01	TCGA-CX-7219-01A-11D-2010-01	TCGA-D6-6515-01A-21D-1869-01	TCGA-D6-6516-01A-11D-1869-01	TCGA-D6-6517-01A-11D-1869-01	TCGA-D6-6823-01A-11D-1910-01	TCGA-D6-6824-01A-11D-1910-01	TCGA-D6-6825-01A-21D-1910-01	TCGA-D6-6826-01A-11D-1910-01	TCGA-D6-6827-01A-11D-1910-01	TCGA-DQ-5624-01A-01D-1869-01	TCGA-DQ-5625-01A-01D-1869-01	TCGA-DQ-5629-01A-01D-1869-01	TCGA-DQ-5630-01A-01D-1869-01	TCGA-DQ-5631-01A-01D-1869-01	TCGA-DQ-7588-01A-11D-2077-01	TCGA-DQ-7589-01A-11D-2228-01	TCGA-DQ-7590-01A-11D-2228-01	TCGA-DQ-7591-01A-11D-2077-01	TCGA-DQ-7592-01A-11D-2077-01	TCGA-DQ-7593-01A-11D-2228-01	TCGA-DQ-7594-01A-11D-2228-01	TCGA-DQ-7595-01A-11D-2228-01	TCGA-DQ-7596-01A-11D-2228-01	TCGA-F7-7848-01A-11D-2128-01	TCGA-H7-7774-01A-21D-2077-01	TCGA-HD-7229-01A-11D-2010-01	TCGA-HD-7753-01A-11D-2077-01	TCGA-HD-7754-01A-11D-2077-01	TCGA-HD-7831-01A-11D-2128-01	TCGA-HD-7832-01A-11D-2128-01	TCGA-HD-7917-01A-11D-2228-01	TCGA-HL-7533-01A-11D-2228-01	TCGA-IQ-7630-01A-11D-2077-01	TCGA-IQ-7631-01A-11D-2077-01	TCGA-IQ-7632-01A-11D-2077-01
1p	0.000	0.000	0.000	0.000	0.000	0.265	0.000	-0.198	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.200	-0.431	0.214	0.153	-0.287	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.374	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.145	0.000	0.000	0.000	-0.203	0.000	0.000	0.159	-0.517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.305	0.000	0.000	0.000	-0.238	0.000	0.226	-0.485	0.000	0.000	-0.394	0.000	0.119	-0.608	-0.177	-0.151	0.000	-0.552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.288	0.000	0.000	0.000	0.000	0.000	0.000	-0.592	0.000	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.214	0.000	0.000	0.343	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.263	0.000	0.000	0.000	-0.567	-0.312	-0.226	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.559	-0.221	-0.370	0.000	0.000	-0.255	-0.447	0.000	0.675	0.000	0.170	0.000	0.000	0.000	0.399	0.000	0.287	0.000	0.000	0.000	0.000	0.000	0.000	0.314	0.000	-0.756	0.000	-0.205	0.000	0.000	-0.237	0.000	0.000	0.000	0.000	0.000	-0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.488	0.000	0.000	0.000	0.137	0.000	0.000	0.000	-0.253	0.261	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.187	0.304	-0.187	0.000	0.000	0.734	0.000	0.000	0.000	0.000	0.000	0.226	0.000	0.000	0.145	0.441	0.000	-0.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.278	0.000	0.000	0.000	0.000	-0.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.376	0.137	0.000	0.000	0.166	-0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.303	0.000	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1q	0.000	0.000	0.000	0.000	0.000	-0.304	0.000	-0.198	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.368	0.214	0.000	0.046	0.000	0.000	0.254	0.000	0.596	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.521	0.000	0.000	0.000	0.000	0.000	0.374	0.198	0.163	0.000	0.000	0.000	0.000	-0.115	0.000	0.000	0.145	0.000	0.000	0.000	-0.203	0.000	0.000	0.159	0.000	0.000	0.000	0.000	0.000	0.355	0.000	0.000	0.000	0.481	0.287	0.000	-0.115	0.443	0.000	0.000	-0.238	0.000	0.226	0.000	0.000	0.679	0.000	0.000	0.000	0.000	-0.177	-0.151	0.000	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.297	0.000	0.000	0.000	-0.340	-0.108	0.000	0.000	0.000	0.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.214	0.000	0.000	0.343	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.263	0.000	0.000	0.000	0.343	0.000	-0.226	0.000	0.000	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.150	0.273	0.353	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.432	0.559	-0.221	0.648	0.000	0.000	-0.255	0.410	-0.238	0.675	0.000	0.170	0.000	0.000	0.000	0.000	0.000	0.287	0.119	0.536	0.000	0.000	0.000	0.000	0.314	0.000	0.700	1.619	-0.058	0.000	0.000	0.105	0.117	0.000	0.000	0.000	0.000	-0.283	0.394	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.391	0.000	0.000	0.000	0.265	0.000	0.000	0.000	0.201	0.261	0.000	0.000	0.000	1.133	0.000	0.000	0.114	0.000	0.000	0.000	0.347	0.000	0.000	0.000	0.613	0.000	0.000	0.158	0.304	0.248	0.000	0.000	0.915	0.435	0.000	0.000	0.000	0.000	0.000	-0.158	0.000	0.145	0.441	0.187	-0.192	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.247	0.278	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.287	0.000	0.376	0.544	0.000	0.000	0.038	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.303	0.000	0.113	0.000	0.000	0.774	0.000	0.000	0.186	0.520	0.000	0.000	0.000
2p	0.000	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.249	0.000	0.000	0.000	-0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.310	-0.114	0.000	-0.422	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.218	0.000	0.201	0.000	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.286	0.135	-0.432	0.275	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.363	0.000	0.769	0.348	0.000	0.123	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.468	0.000	0.000	0.119	0.000	-0.504	0.000	0.000	0.000	0.000	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.253	0.000	0.000	0.000	0.000	0.000	0.260	0.000	0.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.999	0.000	0.000	0.000	0.305	0.000	0.000	0.000	0.000	0.000	0.000	0.441	0.000	0.000	0.000	0.000	-0.153	0.000	0.000	-0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.379	0.000	0.000	0.000	0.207	0.000	0.144	0.319	0.400	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.167	0.458	0.000	0.147	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.000	0.000	0.441	0.000	0.000	0.400	0.000	0.000	0.137	0.342	0.154	0.129	0.000	0.517	0.000	0.000	0.424	-0.107	0.316	0.000	0.000	0.115	0.278	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.334	0.236	0.472	0.000	0.000	0.000	0.000	0.129	0.000	-0.602	0.000	0.000	0.136	1.301	0.000	0.000	0.000	0.000	0.301	0.126	0.000	0.345	0.000	0.101	0.000	0.000	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	-0.001	0.541	0.000	0.000	0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2q	0.000	0.501	0.000	0.000	0.000	0.000	0.000	-0.440	0.000	0.000	0.000	0.000	0.000	-0.144	0.000	0.000	0.000	-0.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.310	-0.114	0.000	-0.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000	-0.116	0.000	0.000	0.000	0.000	0.000	0.218	0.000	0.201	0.000	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.275	0.000	0.000	0.000	-0.209	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.123	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.108	0.468	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.138	0.191	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	-0.620	0.000	0.000	0.193	0.000	0.000	0.000	0.000	-0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.362	0.000	-0.566	0.000	0.305	0.000	0.114	0.472	0.000	0.000	0.000	0.441	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.319	0.276	0.000	0.000	0.000	0.000	0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.167	0.458	0.000	0.000	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.141	0.000	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.137	0.000	0.154	0.129	0.000	0.517	0.000	0.000	0.424	-0.107	0.316	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.334	0.236	0.472	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.136	0.000	0.000	0.000	0.000	0.000	0.301	0.126	0.000	0.000	0.000	0.101	0.000	0.000	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.170	0.000	0.000	0.000	0.350	-0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3p	-0.488	0.743	-0.792	1.267	-0.781	-0.072	0.000	0.000	1.847	-0.330	0.000	0.179	-0.426	0.566	0.026	-0.592	-0.089	-0.458	-0.390	0.291	-0.374	0.000	0.712	-0.489	0.353	-0.034	0.000	0.000	-0.677	0.000	0.106	0.000	-0.425	-0.567	-0.416	0.000	0.393	-0.657	-0.145	0.000	-0.170	0.039	0.013	0.658	0.000	-0.654	-0.040	-0.420	-0.151	-0.137	-0.003	0.000	-0.005	-0.454	-0.166	-0.020	-0.063	-0.490	-0.383	-0.410	-0.444	-0.271	-0.549	0.000	0.000	-0.391	0.000	1.338	-0.412	-0.307	0.867	-0.298	0.000	-0.233	-0.241	0.216	0.413	0.000	1.797	-0.243	0.898	-0.157	-0.656	0.255	-0.378	-0.232	-0.746	-0.542	1.342	0.000	0.000	-0.391	0.000	0.000	-0.459	0.000	-0.665	0.000	-0.509	-0.328	-0.608	0.707	-0.263	0.322	-0.254	-0.111	-0.193	-0.726	-0.175	0.000	-0.769	-0.410	0.000	0.000	-0.676	0.549	0.524	0.000	0.000	-0.809	0.334	-0.131	-0.007	-0.681	0.000	-0.361	0.039	2.273	-0.230	-0.525	-0.132	-0.755	-0.469	-0.163	-0.273	0.387	-0.515	-0.537	-0.216	-0.231	-0.204	-0.332	0.000	-0.219	-0.162	-0.374	0.000	-0.261	0.000	-0.082	-0.316	0.289	-0.380	0.000	0.000	0.000	0.000	0.000	0.055	-0.674	0.000	-0.005	-0.587	0.000	-0.397	0.011	-0.446	-0.366	-0.678	-0.067	-0.458	-0.477	-0.150	0.663	0.000	-0.293	-0.190	-0.347	0.000	-0.009	-0.521	0.639	-0.308	-0.815	-0.399	1.264	0.000	-0.788	-0.060	-0.377	-0.759	-0.583	-0.256	0.000	0.196	0.210	-0.419	0.000	0.000	-0.332	-0.759	-0.281	-0.472	0.000	0.000	-0.356	0.000	-0.720	-0.019	-0.634	-0.517	-0.480	-0.280	0.000	-0.329	-0.533	0.051	-0.491	-0.559	-0.289	-0.400	0.074	-0.496	-0.624	0.389	-0.152	0.000	0.000	0.032	0.106	-0.370	0.023	-0.463	-0.469	-0.227	0.000	-0.413	-0.243	-0.189	-0.411	0.042	-0.515	0.000	-0.290	0.424	-0.125	0.000	-0.445	-0.507	0.000	-0.261	-0.642	-0.356	-0.220	-0.544	-0.384	0.000	0.000	-0.634	0.000	-0.750	-0.613	0.000	-0.107	-0.294	3.657	0.000	0.000	-0.616	0.000	-0.493	-0.163	0.000	-0.367	-0.395	-0.402	0.000	-0.366	-0.265	0.000	0.284	0.000	-0.371	-0.238	-0.417	-0.425	-0.346	0.000	-0.682	-0.370	0.000	0.000	0.005	0.245	-0.538	0.000	-0.546	-0.417	0.000	-0.045	-0.717	0.221	0.000	-0.322	0.000	0.000
